review_id,ATT,BI,rating,review_length,helpful_vote,review_year,verified_purchase,user_id
R1144,0.9,2.0,4.0,185,0,2014,1,AHMUYTELGHKFIHKNDJS5DY77VI2A
R1148,4.3,2.0,5.0,526,0,2013,1,AHI43AGZR2C5WM6XNKENCF7YG5SA
R1152,2.3,1.0,5.0,112,0,2017,1,AH4NZUVAWUDNVNTYVUI3EKRIUDPA
R1159,1.8,3.0,5.0,645,4,2014,1,AEB7P5RK5ETND5MWQSZPSPN54GCQ
R1166,1.3,2.0,4.0,595,0,2013,1,AFZGIHCEK2GB2DF3URCIGNTEAHCA
R1169,0.8,1.0,5.0,22,0,2018,1,AGJ2FJZJBHB5CYHHB42MVRRYM5AQ
R1173,-1.3,0.0,1.0,483,3,2012,1,AFVHJAKFDKVPVUY3NNLM73Y6KWFQ
R1178,2.7,2.0,5.0,159,0,2013,1,AEXPRISIRLXZUDYOQ6MQJEM44GHQ
R1181,2.7,3.0,5.0,150,0,2014,1,AG7JNIOV2EM4VE2TXZ4RPFY4OS3A
R1183,2.8,1.0,5.0,171,0,2013,1,AEZB45KAEPQ63VPUZ3GPSAYLWLPQ
R1188,-3.2,0.0,3.0,514,1,2014,1,AGEJYAHKKLNLXIY2PSGMROX77FAQ
R1194,2.8,3.0,5.0,191,0,2016,1,AHU6H7MNSLUSTPP2NGSSP3DTBQ6A
R1199,1.8,3.0,5.0,233,0,2021,1,AEMQUNSPOKQERKWOQRIY2TGP3NSQ
R1201,2.5,2.0,5.0,141,0,2016,0,AH5Y7FIYKANNT73UJIPKLCQ34MMA
R1202,0.8,1.0,5.0,36,0,2016,1,AHXPMQKACCOAJFUNPPXGITITTD4Q
R1217,2.6,2.0,5.0,542,1,2015,1,AGDLKMRT2LF45NZ33AHLAO2JSZDQ
R1221,1.6,3.0,5.0,109,1,2014,1,AETZZTJXWS4NRZK4ST3PKVGCZ6BA
R1224,1.8,1.0,5.0,50,0,2014,1,AGG52YP6RFLKFNOUK7HGLXZZMMRA
R1234,1.6,1.0,5.0,117,0,2013,1,AHZ2QHOPBDAABQJ35I7II6E3DSUQ
R1238,2.2,1.0,4.0,298,0,2013,1,AF7D24LXNZ27S47DUNVSKJWPN66Q
R1243,-1.0,0.0,3.0,95,0,2015,1,AHNDPXNMQGB2GJPRWYPGD2RMJUHA
R1247,2.5,2.0,5.0,146,0,2014,1,AHQ6KJ25RVANNZL3WMO65HQLJ7LA
R1255,-0.5,0.0,2.0,154,0,2013,1,AGCRQ5PQR5DS4WSS6TZUNVB2DSZA
R1265,2.5,1.0,5.0,261,0,2013,1,AFJXWCMINVCDMBI4QQJQAOSI5SFA
R1267,2.1,3.0,5.0,422,0,2014,1,AFY66NR26B3CUECACY3HUOYSN4KA
R1279,0.4,3.0,5.0,27,0,2015,1,AGZ3LVGGKT2ZUELITDUC6IQQCYQA
R1282,2.0,1.0,5.0,142,0,2013,1,AFA756T472CDI5M3IXW6FUHAJFHA
R1287,2.6,1.0,5.0,152,0,2015,1,AE5LAGL5ERUMRF6QHKGCYWKTWDSA
R1290,2.0,3.0,4.0,138,0,2013,1,AHX2O2L2NLYLS7RXUWEV2VAGGTPA
R1293,2.6,3.0,3.0,145,0,2013,1,AE5MDX335KBMUQKTKAVWBMW6KPTA
R1294,0.9,1.0,5.0,38,0,2014,1,AGYDJKVP6BW5NUPJZBK2WSFR5AAQ
R1299,0.8,3.0,4.0,267,0,2015,1,AHPQ7W3SKUB3F4UJVM3KUC5CK5WA
R1300,2.7,3.0,5.0,139,0,2013,1,AGFYF5H3NVAEOIYAWCRN3MORNAZQ
R1314,2.5,1.0,5.0,254,0,2013,1,AFRNEG4KR32WWEIMFO5MGXA6GSZQ
R1315,2.4,3.0,5.0,244,0,2023,1,AGMJBAOICRRYO2ARS2IQYDWXCT7A
R1316,4.2,3.0,5.0,1411,0,2014,0,AF6OTUU4DVXBHL7RILCJ6QCR2SXQ
R1323,1.3,1.0,5.0,122,1,2023,1,AGVQLN5CKMBOROYAXTIFMPYV4D7A
R1328,4.2,3.0,5.0,629,1,2023,1,AEF54UBQVGGSI6YERS3XT5WW4JMQ
R1329,0.8,1.0,5.0,21,0,2015,1,AHYBDZYQMD7NPLAKEU4Y7NHJJX3A
R1330,1.6,1.0,5.0,189,0,2023,1,AGOTAX6RPSH3JQIR66UAGUDUMYOA
